matrix_size,time_sec
1,3e-06
2,2e-06
3,2e-06
4,3e-06
5,3e-06
6,4e-06
7,7e-06
8,9e-06
9,1e-05
10,1.6e-05
11,1.6e-05
12,2.6e-05
13,2.5e-05
14,3.1e-05
15,3.7e-05
16,4.8e-05
17,5.4e-05
18,6.5e-05
19,8.3e-05
20,9.7e-05
21,0.000109
22,0.000124
23,0.000143
24,0.000142
25,0.000142
26,0.000156
27,0.000186
28,0.000194
29,0.000212
30,0.000243
31,0.000254
32,0.000292
33,0.000305
34,0.000462
35,0.000434
36,0.000412
37,0.000431
38,0.000472
39,0.000508
40,0.000554
41,0.000581
42,0.000622
43,0.000665
44,0.000723
45,0.00077
46,0.000826
47,0.000878
48,0.000936
49,0.000989
50,0.001054
51,0.001118
52,0.001183
53,0.001337
54,0.00168
55,0.002068
56,0.002033
57,0.002487
58,0.00171
59,0.001729
60,0.001814
61,0.00251
62,0.002178
63,0.00223
64,0.002381
65,0.002436
66,0.003941
67,0.00308
68,0.003003
69,0.002071
70,0.001279
71,0.001339
72,0.001409
73,0.001467
74,0.001529
75,0.001604
76,0.001671
77,0.001731
78,0.001987
79,0.001921
80,0.002024
81,0.002091
82,0.002109
83,0.002195
84,0.002307
85,0.002388
86,0.002456
87,0.002544
88,0.00265
89,0.002747
90,0.002855
91,0.003027
92,0.003124
93,0.003216
94,0.003341
95,0.003446
96,0.003559
97,0.003678
98,0.003764
99,0.003972
100,0.004022
101,0.004153
102,0.004279
103,0.004387
104,0.004509
105,0.00464
106,0.004719
107,0.004854
108,0.004978
109,0.00516
110,0.005259
111,0.00541
112,0.005595
113,0.005741
114,0.005845
115,0.005974
116,0.006204
117,0.006368
118,0.006528
119,0.007083
120,0.006791
121,0.007083
122,0.007207
123,0.007599
124,0.007781
125,0.007775
126,0.007999
127,0.008125
128,0.008361
129,0.008547
130,0.00871
131,0.008903
132,0.009176
133,0.009351
134,0.009523
135,0.009718
136,0.009987
137,0.010237
138,0.010431
139,0.010641
140,0.010897
141,0.011218
142,0.011373
143,0.011616
144,0.011884
145,0.012116
146,0.012645
147,0.012627
148,0.012924
149,0.013135
150,0.01331
151,0.013675
152,0.013907
153,0.014213
154,0.014434
155,0.014791
156,0.015037
157,0.015564
158,0.015697
159,0.016
160,0.016288
161,0.016587
162,0.016855
163,0.017179
164,0.017517
165,0.017808
166,0.018155
167,0.018372
168,0.018885
169,0.019076
170,0.019367
171,0.01969
172,0.020026
173,0.020341
174,0.02068
175,0.021084
176,0.021377
177,0.02174
178,0.022268
179,0.022691
180,0.023472
181,0.023678
182,0.024412
183,0.024626
184,0.025428
185,0.025284
186,0.026217
187,0.026409
188,0.026572
189,0.027322
190,0.027586
191,0.028024
192,0.028903
193,0.028901
194,0.029419
195,0.029692
196,0.030287
197,0.031007
198,0.031249
199,0.031894
200,0.032182
201,0.032979
202,0.033608
203,0.033935
204,0.033981
205,0.034691
206,0.035241
207,0.035764
208,0.036764
209,0.036989
210,0.03781
211,0.037571
212,0.037846
213,0.038271
214,0.038883
215,0.040111
216,0.040501
217,0.041255
218,0.041317
219,0.041669
220,0.042151
221,0.042761
222,0.043401
223,0.044023
224,0.04461
225,0.045018
226,0.045756
227,0.046565
228,0.04708
229,0.047824
230,0.048325
231,0.048902
232,0.049535
233,0.050248
234,0.050887
235,0.051651
236,0.052148
237,0.052878
238,0.053543
239,0.054252
240,0.054987
241,0.055736
242,0.056409
243,0.05703
244,0.057616
245,0.058431
246,0.0592
247,0.059756
248,0.060738
249,0.061456
250,0.062324
251,0.06294
252,0.063621
253,0.064447
254,0.076385
255,0.077335
256,0.067103
257,0.067492
258,0.06842
259,0.069047
260,0.069742
261,0.070521
262,0.071265
263,0.072162
264,0.072961
265,0.074069
266,0.074977
267,0.075677
268,0.076486
269,0.077354
270,0.07856
271,0.07944
272,0.079841
273,0.080898
274,0.08166
275,0.082653
276,0.083561
277,0.084529
278,0.085383
279,0.086276
280,0.087237
281,0.088172
282,0.089063
283,0.089996
284,0.091073
285,0.091932
286,0.093429
287,0.094534
288,0.095082
289,0.096062
290,0.097482
291,0.098684
292,0.099729
293,0.100946
294,0.101812
295,0.102581
296,0.104023
297,0.104877
298,0.106156
299,0.107063
