matrix_size,time_sec
8,2e-06
16,4e-06
24,6e-06
32,1.1e-05
40,1.7e-05
48,2.7e-05
56,3.9e-05
64,5.5e-05
72,7.9e-05
80,0.00012
88,0.000138
96,0.000183
104,0.000237
112,0.000276
120,0.000351
128,0.000409
136,0.000506
144,0.000614
152,0.000729
160,0.000836
168,0.000987
176,0.001136
184,0.00128
192,0.001455
200,0.001664
208,0.001847
216,0.002062
224,0.002318
232,0.00258
240,0.002856
248,0.003097
256,0.003445
264,0.003719
272,0.004141
280,0.004463
288,0.004893
296,0.00525
304,0.005884
312,0.006121
320,0.006647
328,0.007227
336,0.00773
344,0.008443
352,0.008949
360,0.00951
368,0.01031
376,0.011104
384,0.011902
392,0.012434
400,0.01356
408,0.014263
416,0.014969
424,0.015975
432,0.017147
440,0.018559
448,0.019117
456,0.02012
464,0.021262
472,0.02255
480,0.023656
488,0.024787
496,0.025933
