matrix_size,time_sec
5,4e-06
6,3e-06
7,4e-06
8,8e-06
9,7e-06
10,9e-06
11,1.5e-05
12,1.7e-05
13,2e-05
14,2.3e-05
15,2.8e-05
16,9.6e-05
17,8.1e-05
18,9.4e-05
19,0.00011
20,0.000126
21,0.000154
22,0.000166
23,0.000193
24,0.000212
25,0.000243
26,0.000269
27,0.000302
28,0.000336
29,0.000389
30,0.000416
31,0.00045
32,0.000468
33,0.000493
34,0.000602
35,0.000748
36,0.000651
37,0.000704
38,0.000827
39,0.000451
40,0.000491
41,0.000591
42,0.000542
43,0.000591
44,0.00062
45,0.000678
46,0.000718
47,0.000772
48,0.000809
49,0.000868
50,0.000924
51,0.000979
52,0.001027
53,0.001098
54,0.001155
55,0.001219
56,0.00128
57,0.00136
58,0.001416
59,0.001511
60,0.001568
61,0.001654
62,0.001757
63,0.001879
64,0.001916
65,0.002013
66,0.002101
67,0.00219
68,0.002292
69,0.002402
70,0.002475
71,0.002597
72,0.002704
73,0.002852
74,0.00293
75,0.003066
76,0.00325
77,0.003332
78,0.003458
79,0.003591
80,0.0037
81,0.003919
82,0.003999
83,0.00415
84,0.004276
85,0.004462
86,0.004581
87,0.004829
88,0.004917
89,0.0051
90,0.005291
91,0.005439
92,0.005609
93,0.005898
94,0.006052
95,0.006292
96,0.006405
97,0.00665
98,0.006789
99,0.007091
100,0.007285
101,0.007575
102,0.007741
103,0.007976
104,0.008168
105,0.008472
106,0.008693
107,0.008889
108,0.009193
109,0.009509
110,0.009695
111,0.010044
112,0.010328
113,0.01062
114,0.010786
115,0.01124
116,0.011426
117,0.011824
118,0.011951
119,0.01226
120,0.01264
121,0.013047
122,0.013352
123,0.013632
124,0.013931
125,0.014334
126,0.014856
127,0.015281
128,0.015332
129,0.015733
130,0.016162
131,0.016554
132,0.016846
133,0.01735
134,0.017519
135,0.018001
136,0.018494
137,0.01892
138,0.019307
139,0.019788
140,0.0201
141,0.020574
142,0.021243
143,0.02176
144,0.022137
145,0.022677
146,0.02286
147,0.0234
148,0.023921
149,0.024447
150,0.024913
151,0.025385
152,0.026018
153,0.026562
154,0.026946
155,0.027481
156,0.028042
157,0.028726
158,0.029612
159,0.030185
160,0.030276
161,0.031061
162,0.031437
163,0.032145
164,0.034212
165,0.035068
166,0.035562
167,0.036056
168,0.036993
169,0.037787
170,0.038187
171,0.039028
172,0.039624
173,0.040344
174,0.041035
175,0.042012
176,0.042497
177,0.043326
178,0.04401
179,0.044837
180,0.045552
181,0.046459
182,0.045244
183,0.046223
184,0.047268
185,0.048275
186,0.048629
187,0.049595
188,0.050498
189,0.051627
190,0.052391
191,0.053307
192,0.054032
193,0.054788
194,0.055703
195,0.056701
196,0.057133
197,0.058358
198,0.058788
199,0.059883
200,0.06089
201,0.062064
202,0.062518
203,0.063454
204,0.064173
205,0.065155
206,0.066282
207,0.067301
208,0.067948
209,0.069309
210,0.069837
211,0.071037
212,0.071983
213,0.073026
214,0.073766
215,0.075108
216,0.076334
217,0.07764
218,0.079297
219,0.07925
220,0.080221
221,0.081758
222,0.082574
223,0.083694
224,0.084668
225,0.088267
226,0.087669
227,0.084387
228,0.081266
229,0.079095
230,0.076885
231,0.07506
232,0.072996
233,0.071445
234,0.070116
235,0.068499
236,0.067095
237,0.067898
238,0.066457
239,0.065952
240,0.0663
241,0.066935
242,0.066722
243,0.069147
244,0.069629
245,0.070685
246,0.073149
247,0.073468
248,0.075264
249,0.078882
250,0.075073
251,0.07734
252,0.077516
253,0.077772
254,0.082659
255,0.084587
256,0.080621
257,0.081846
258,0.08186
259,0.079491
260,0.080225
261,0.081505
262,0.08243
263,0.083471
264,0.084318
265,0.085646
266,0.086316
267,0.087529
268,0.088329
269,0.089505
270,0.090313
271,0.091524
272,0.092734
273,0.097523
274,0.096597
275,0.096954
276,0.096781
277,0.09766
278,0.098781
279,0.099666
280,0.100611
281,0.101817
282,0.102837
283,0.104234
284,0.105256
285,0.106555
286,0.107314
287,0.108348
288,0.109879
289,0.111174
290,0.111786
291,0.113151
292,0.11453
293,0.115867
294,0.11669
295,0.118162
296,0.119329
297,0.120222
298,0.121183
299,0.122639
