matrix_size,time_sec
1,3e-06
2,1e-06
3,2e-06
4,2e-06
5,2e-06
6,2e-06
7,1e-06
8,3e-06
9,4e-06
10,6e-06
11,4e-06
12,8e-06
13,4e-06
14,6e-06
15,6e-06
16,1.2e-05
17,1.1e-05
18,1.3e-05
19,1.4e-05
20,1.8e-05
21,1.6e-05
22,1.9e-05
23,2.4e-05
24,2.4e-05
25,2.9e-05
26,2.9e-05
27,3.4e-05
28,3.6e-05
29,4.4e-05
30,5.1e-05
31,5e-05
32,5.4e-05
33,7.9e-05
34,6.5e-05
35,7e-05
36,9.8e-05
37,8.2e-05
38,9.2e-05
39,0.000112
40,0.00011
41,0.000111
42,0.000123
43,0.000132
44,0.000142
45,0.000153
46,0.000168
47,0.000185
48,0.00019
49,0.000196
50,0.000226
51,0.000223
52,0.000237
53,0.00027
54,0.000264
55,0.000292
56,0.000301
57,0.00033
58,0.000351
59,0.000368
60,0.000374
61,0.000405
62,0.000416
63,0.000592
64,0.000759
65,0.000497
66,0.000544
67,0.00053
68,0.000558
69,0.000604
70,0.000643
71,0.000653
72,0.000689
73,0.000716
74,0.000752
75,0.000789
76,0.000828
77,0.00085
78,0.000903
79,0.000914
80,0.000981
81,0.001015
82,0.001105
83,0.001067
84,0.001123
85,0.001156
86,0.0012
87,0.001242
88,0.001307
89,0.001098
90,0.000778
91,0.000496
92,0.000515
93,0.000528
94,0.000561
95,0.000573
96,0.000576
97,0.00059
98,0.000623
99,0.000634
100,0.000662
101,0.000671
102,0.000696
103,0.00072
104,0.000747
105,0.00077
106,0.000796
107,0.000807
108,0.00084
109,0.000863
110,0.000881
111,0.000901
112,0.000928
113,0.000946
114,0.000981
115,0.001003
116,0.001049
117,0.001114
118,0.001097
119,0.001114
120,0.001166
121,0.001193
122,0.001214
123,0.001242
124,0.001279
125,0.00132
126,0.001378
127,0.001372
128,0.001425
129,0.001444
130,0.001491
131,0.00151
132,0.001561
133,0.001604
134,0.001633
135,0.001676
136,0.001717
137,0.001764
138,0.001798
139,0.00183
140,0.001885
141,0.001924
142,0.001965
143,0.001998
144,0.002054
145,0.002103
146,0.002135
147,0.002182
148,0.002241
149,0.002284
150,0.002334
151,0.002391
152,0.002438
153,0.002493
154,0.002535
155,0.00259
156,0.002667
157,0.002708
158,0.0028
159,0.002867
160,0.002903
161,0.002928
162,0.002969
163,0.003034
164,0.003092
165,0.00315
166,0.003206
167,0.003266
168,0.003327
169,0.003388
