timestamp,count,conns,read_bytes_total,latency_ms_sum
1564650000,88967916.0,349.0,10813551340000.0,509146850.3
1564650300,88989154.0,336.0,10817080490000.0,509262088.5
1564650600,89004769.0,333.0,10819633690000.0,509341201.7
1564650900,89020289.0,330.0,10822154970000.0,509415425.9
1564651200,89026526.0,311.0,10824805250000.0,509483841.9
1564651500,89031750.0,312.0,10827422440000.0,509562566.0
1564651800,89038641.0,319.0,10830296590000.0,509665646.9
1564652100,89045089.0,303.0,10833610630000.0,509752839.1
1564652400,89050452.0,296.0,10836713730000.0,509827590.6
1564652700,89056684.0,293.0,10839800760000.0,509915729.4
1564653000,89062948.0,296.0,10842719090000.0,509987937.9
1564653300,89069287.0,292.0,10845713220000.0,510081152.2
1564653600,89074720.0,271.0,10848535260000.0,510156275.9
1564653900,89086889.0,300.0,10852283840000.0,510277856.1
1564654200,89098217.0,288.0,10858113050000.0,510449056.5
1564654500,89109197.0,290.0,10863432910000.0,510618920.2
1564654800,89121059.0,296.0,10868581810000.0,510793274.7
1564655100,89128879.0,292.0,10872495080000.0,510906643.9
1564655400,89135436.0,293.0,10875861960000.0,511008543.0
1564655700,89146236.0,302.0,10880337490000.0,511140712.3
1564656000,89156299.0,293.0,10884566360000.0,511268707.1
1564656300,89170651.0,298.0,10889178040000.0,511523038.7
1564656600,89185584.0,273.0,10894147150000.0,511787708.4
1564656900,89196302.0,278.0,10898600550000.0,511916911.8
1564657200,89207665.0,261.0,10903036030000.0,512059426.5
1564657500,89228764.0,263.0,10907548020000.0,512231775.2
1564657800,89240157.0,278.0,10911739270000.0,512361589.7
1564658100,89252498.0,295.0,10916167440000.0,512499733.5
1564658400,89263673.0,377.0,10920346880000.0,512646502.7
1564658700,89277005.0,326.0,10924515200000.0,512789993.6
1564659000,89295267.0,302.0,10928888800000.0,512922086.3
1564659300,89305038.0,308.0,10932948450000.0,513062474.9
1564659600,89314827.0,298.0,10936865710000.0,513175016.5
1564659900,89338361.0,284.0,10940931580000.0,513291526.1
1564660200,89376172.0,275.0,10944839930000.0,513386148.6
1564660500,89384669.0,287.0,10947793750000.0,513449239.1
1564660800,89386610.0,301.0,10948928630000.0,513472873.3
1564661100,89389397.0,348.0,10949971950000.0,513501298.0
1564661400,89391616.0,341.0,10950982910000.0,513527908.8
1564661700,89396028.0,323.0,10952152860000.0,513582169.3
1564662000,89401503.0,318.0,10953411830000.0,513641400.6
1564662300,89417257.0,303.0,10955304420000.0,513773530.0
1564662600,89432377.0,324.0,10957328350000.0,513912844.2
1564662900,89444041.0,321.0,10959184820000.0,514031577.1
1564663200,89451359.0,332.0,10960529250000.0,514102270.6
1564663500,89457679.0,312.0,10961934040000.0,514172107.3
1564663800,89478032.0,321.0,10963921720000.0,514307349.8
1564664100,89489952.0,311.0,10965221120000.0,514373400.7
1564664400,89493662.0,323.0,10966432420000.0,514433247.0
1564664700,89501057.0,350.0,10968067140000.0,514515063.2
1564665000,89506236.0,338.0,10969419600000.0,514573317.7
1564665300,89511625.0,359.0,10970884330000.0,514640061.4
1564665600,89519150.0,354.0,10972712020000.0,514732628.6
1564665900,89527610.0,343.0,10974241480000.0,514825964.9
1564666200,89537928.0,325.0,10976199380000.0,514941163.0
1564666500,89551959.0,317.0,10978125120000.0,515061449.3
1564666800,89560898.0,323.0,10979893340000.0,515138277.5
1564667100,89566851.0,308.0,10981379480000.0,515188966.5
1564667400,89572513.0,293.0,10983047530000.0,515266143.5
1564667700,89577440.0,282.0,10984525990000.0,515327208.7
1564668000,89579954.0,270.0,10985627840000.0,515367365.0
1564668300,89587118.0,370.0,10987082230000.0,515449716.7
1564668600,89603375.0,378.0,10988707660000.0,515589521.1
1564668900,89620498.0,371.0,10990333150000.0,515725860.4
1564669200,89653822.0,382.0,10992657250000.0,515893517.6
1564669500,89689028.0,358.0,10995032260000.0,516059204.5
1564669800,89712914.0,366.0,10997598220000.0,516219998.7
1564670100,89728373.0,349.0,10999620490000.0,516321067.4
1564670400,89741216.0,337.0,11001312380000.0,516413338.2
1564670700,89753895.0,323.0,11002920990000.0,516482999.1
1564671000,89757577.0,320.0,11003936370000.0,516510039.0
1564671300,89761162.0,299.0,11004956970000.0,516538977.7
1564671600,89772908.0,290.0,11006219280000.0,516584615.4
1564671900,89780183.0,408.0,11007456470000.0,516639637.9
1564672200,89791694.0,387.0,11009162020000.0,516741012.2
1564672500,89801676.0,395.0,11010473170000.0,516832852.4
1564672800,89828109.0,354.0,11013183110000.0,517019000.8
1564673100,89866674.0,349.0,11015921270000.0,517168308.1
1564673400,89896353.0,369.0,11018099480000.0,517338671.5
1564673700,89919421.0,335.0,11020320190000.0,517490448.8
1564674000,89941905.0,328.0,11022662380000.0,517610616.4
1564674300,89958653.0,314.0,11024620720000.0,517697222.5
1564674600,89972652.0,312.0,11026771130000.0,517774236.3
1564674900,89979911.0,304.0,11028244570000.0,517814024.8
1564675200,89987165.0,289.0,11029672790000.0,517856045.8
1564675500,89995344.0,348.0,11031231180000.0,517948098.4
1564675800,90008102.0,334.0,11033138840000.0,518050473.9
1564676100,90024717.0,308.0,11034989220000.0,518181753.8
1564676400,90048152.0,290.0,11037435890000.0,518323104.9
1564676700,90055283.0,278.0,11039284050000.0,518393791.0
1564677000,90059266.0,258.0,11040278440000.0,518434265.2
1564677300,90067989.0,243.0,11041291120000.0,518515122.7
1564677600,90072080.0,217.0,11042118480000.0,518568797.9
1564677900,90075160.0,222.0,11042704500000.0,518611021.0
1564678200,90081293.0,215.0,11043678420000.0,518678163.7
1564678500,90082444.0,219.0,11044090450000.0,518696209.1
1564678800,90087944.0,223.0,11044742130000.0,518772442.1
1564679100,90101325.0,337.0,11045483570000.0,518920519.7
1564679400,90128436.0,354.0,11046921450000.0,519043297.7
1564679700,90170402.0,332.0,11047944210000.0,519185366.5
1564680000,90201275.0,337.0,11050318350000.0,519408076.0
1564680300,90220585.0,335.0,11051834810000.0,519550311.0
1564680600,90233644.0,339.0,11053559530000.0,519682451.9
1564680900,90253103.0,312.0,11055936830000.0,519862318.5
1564681200,90260696.0,278.0,11056966330000.0,519940500.5
1564681500,90267346.0,288.0,11058154110000.0,520022660.4
1564681800,90272196.0,230.0,11059111640000.0,520083802.0
1564682100,90278339.0,235.0,11060220480000.0,520162024.8
1564682400,90283512.0,222.0,11061521650000.0,520220216.3
1564682700,90291307.0,270.0,11062828560000.0,520301019.4
1564683000,90309353.0,290.0,11064714020000.0,520439827.1
1564683300,90327338.0,287.0,11066164390000.0,520568426.9
1564683600,90336408.0,314.0,11067702450000.0,520667402.9
1564683900,90353178.0,283.0,11069908840000.0,520840462.4
1564684200,90363086.0,289.0,11071778960000.0,520964136.8
1564684500,90384031.0,284.0,11074564310000.0,521160806.6
1564684800,90399029.0,281.0,11076413220000.0,521270575.4
1564685100,90407856.0,261.0,11077727500000.0,521357071.3
1564685400,90413233.0,244.0,11078707380000.0,521416789.6
1564685700,90420908.0,253.0,11079910030000.0,521489335.7
1564686000,90423555.0,263.0,11080472870000.0,521534257.0
1564686300,90432831.0,285.0,11081466250000.0,521632466.0
1564686600,90438625.0,287.0,11082330510000.0,521699802.0
1564686900,90447772.0,300.0,11083837310000.0,521800521.5
1564687200,90454361.0,287.0,11085096240000.0,521872289.2
1564687500,90490715.0,300.0,11087610670000.0,522013146.3
1564687800,90517399.0,302.0,11089454760000.0,522125083.7
1564688100,90545160.0,296.0,11091237230000.0,522235699.1
1564688400,90559606.0,287.0,11092729560000.0,522332788.5
1564688700,90567363.0,287.0,11093935610000.0,522402416.8
1564689000,90575452.0,279.0,11095377400000.0,522479008.7
1564689300,90583992.0,278.0,11096619740000.0,522562107.9
1564689600,90593137.0,263.0,11098010820000.0,522637855.8
1564689900,90603573.0,313.0,11099244890000.0,522722741.8
1564690200,90624149.0,332.0,11101308220000.0,522885754.6
1564690500,90636860.0,329.0,11103417410000.0,522993247.7
1564690800,90646703.0,332.0,11105234200000.0,523109137.3
1564691100,90656231.0,340.0,11107181460000.0,523277443.7
1564691400,90662076.0,346.0,11108303670000.0,523376258.1
1564691700,90670167.0,326.0,11109620290000.0,523461468.2
1564692000,90680326.0,314.0,11110950650000.0,523542453.3
1564692300,90703469.0,309.0,11112972540000.0,523686665.8
1564692600,90713328.0,296.0,11114090090000.0,523759010.1
1564692900,90719911.0,284.0,11115092840000.0,523820456.3
1564693200,90726490.0,264.0,11116497290000.0,523881872.0
1564693500,90733928.0,314.0,11117766520000.0,523961777.8
1564693800,90766810.0,318.0,11119665000000.0,524152411.2
1564694100,90796115.0,333.0,11121485650000.0,524276992.0
1564694400,90809904.0,330.0,11123195320000.0,524383733.0
1564694700,90819688.0,347.0,11124746360000.0,524480483.6
1564695000,90841067.0,343.0,11126786610000.0,524644819.7
1564695300,90869343.0,330.0,11128945600000.0,524774950.8
1564695600,90885546.0,335.0,11130056750000.0,524853626.9
1564695900,90903697.0,323.0,11131368380000.0,524947333.5
1564696200,90935317.0,316.0,11134438920000.0,525143605.4
1564696500,90963309.0,319.0,11136480240000.0,525267794.4
1564696800,90985972.0,310.0,11137960730000.0,525358975.5
1564697100,91011696.0,349.0,11139533170000.0,525492125.6
1564697400,91040104.0,358.0,11142133030000.0,525745181.6
1564697700,91065419.0,364.0,11143919320000.0,525989771.7
1564698000,91095944.0,369.0,11146272590000.0,526216196.4
1564698300,91124595.0,360.0,11148619570000.0,526410251.5
1564698600,91149644.0,355.0,11150799280000.0,526587567.8
1564698900,91178444.0,366.0,11153198030000.0,526810345.9
1564699200,91207302.0,349.0,11155068240000.0,526963422.8
1564699500,91225071.0,313.0,11156323580000.0,527046471.6
1564699800,91238807.0,308.0,11157829240000.0,527142219.8
1564700100,91253890.0,314.0,11159396750000.0,527275172.6
1564700400,91264858.0,310.0,11160406860000.0,527349773.2
1564700700,91276298.0,350.0,11161407890000.0,527437440.2
1564701000,91293655.0,353.0,11162970210000.0,527565600.9
1564701300,91313922.0,371.0,11164763270000.0,527724832.3
1564701600,91335312.0,366.0,11166793660000.0,527891377.3
1564701900,91353570.0,375.0,11168975380000.0,528081522.6
1564702200,91371394.0,382.0,11170545580000.0,528254490.2
1564702500,91388292.0,389.0,11172154500000.0,528413451.9
1564702800,91405061.0,372.0,11173980950000.0,528597387.0
1564703100,91412156.0,373.0,11175263790000.0,528690140.9
1564703400,91425188.0,361.0,11176802150000.0,528793961.8
